ID,RA_1,Dec_1,PhotoFlag,FWHM,r_petro,er_petro
SPLUS.STRIPE82-0003.12106.griz,0.7357,-0.7927,0,5.79,16.63,0.02
SPLUS.STRIPE82-0003.12283.griz,1.9791,-0.8013,2,4.07,16.39,0.02
SPLUS.STRIPE82-0003.12590.griz,1.9203,-0.7877,0,11.07,16.87,0.02
SPLUS.STRIPE82-0003.12667.griz,1.318,-0.7844,0,5.1,16.95,0.02
SPLUS.STRIPE82-0003.13351.griz,1.8569,-0.7521,0,8.77,16.11,0.02
SPLUS.STRIPE82-0003.13451.griz,2.0192,-0.7513,2,4.1,16.61,0.02
SPLUS.STRIPE82-0003.13608.griz,1.9486,-0.7441,0,8.25,16.82,0.02
SPLUS.STRIPE82-0003.13712.griz,1.5163,-0.7269,0,17.99,15.28,0.02
SPLUS.STRIPE82-0003.14625.griz,1.8613,-0.706,2,5.52,15.65,0.02
SPLUS.STRIPE82-0003.15086.griz,1.5730000000000002,-0.6821,2,6.6,16.28,0.02
SPLUS.STRIPE82-0003.15303.griz,1.9217,-0.6957,2,15.1,16.08,0.02
SPLUS.STRIPE82-0003.15429.griz,1.9615,-0.6749,3,5.48,16.33,0.02
SPLUS.STRIPE82-0003.15733.griz,1.2354,-0.5128,3,101.39,15.98,0.04
SPLUS.STRIPE82-0003.15734.griz,1.2416,-0.5184,3,64.01,15.98,0.02
SPLUS.STRIPE82-0003.16337.griz,1.2029,-0.0287,0,5.71,16.86,0.02
SPLUS.STRIPE82-0003.16520.griz,1.6524,-0.0331,2,3.85,16.79,0.02
SPLUS.STRIPE82-0003.16759.griz,0.8067,-0.0435,3,7.56,16.11,0.02
SPLUS.STRIPE82-0003.16852.griz,0.992,-0.0456,2,12.21,16.64,0.02
SPLUS.STRIPE82-0003.16924.griz,0.812,-0.0382,3,7.88,15.89,0.02
SPLUS.STRIPE82-0003.16989.griz,1.6416,-0.0561,3,10.2,16.44,0.02
SPLUS.STRIPE82-0003.17255.griz,0.9459,-0.064,2,21.21,16.95,0.02
SPLUS.STRIPE82-0003.17882.griz,1.3308,-0.0902,0,12.78,16.96,0.02
SPLUS.STRIPE82-0003.18982.griz,1.3002,-0.1507,2,4.89,16.56,0.02
SPLUS.STRIPE82-0003.19366.griz,0.8234,-0.1498,3,57.75,10.78,0.02
SPLUS.STRIPE82-0003.19577.griz,1.8312,-0.3515,3,131.17,13.12,0.02
SPLUS.STRIPE82-0003.20767.griz,1.025,-0.2258,0,7.31,16.01,0.02
SPLUS.STRIPE82-0003.20874.griz,1.9011,-0.2319,0,5.15,15.25,0.02
SPLUS.STRIPE82-0003.20995.griz,1.9796,-0.228,3,6.08,15.02,0.02
SPLUS.STRIPE82-0003.21346.griz,1.0299,-0.2622,0,6.6,15.6,0.02
SPLUS.STRIPE82-0003.21549.griz,1.9409,-0.264,0,4.48,16.64,0.02
SPLUS.STRIPE82-0003.21666.griz,1.6675,-0.2733,0,4.42,16.67,0.02
SPLUS.STRIPE82-0003.21909.griz,0.9169,-0.2803,0,8.73,16.44,0.02
SPLUS.STRIPE82-0003.22576.griz,0.7561,-0.3172,0,6.17,16.43,0.02
SPLUS.STRIPE82-0003.23040.griz,1.6881,-0.3383,2,4.61,16.07,0.02
SPLUS.STRIPE82-0003.23418.griz,1.486,-0.39799999999999996,2,6.21,15.6,0.02
SPLUS.STRIPE82-0003.23440.griz,0.7745,-0.3571,0,9.96,16.86,0.02
SPLUS.STRIPE82-0003.23498.griz,1.2830000000000001,-0.5238,3,107.65,7.86,0.02
SPLUS.STRIPE82-0003.23656.griz,1.8151,-0.3593,2,4.97,16.95,0.02
SPLUS.STRIPE82-0003.23671.griz,1.535,-0.3722,2,8.21,16.5,0.02
SPLUS.STRIPE82-0003.23752.griz,1.5206,-0.3698,0,8.95,16.96,0.02
SPLUS.STRIPE82-0003.23882.griz,0.6564,-0.3742,2,6.09,16.21,0.02
SPLUS.STRIPE82-0003.24204.griz,1.5465,-0.3887,3,4.89,16.91,0.02
SPLUS.STRIPE82-0003.25180.griz,1.7948,-0.4147,2,7.65,15.41,0.02
SPLUS.STRIPE82-0003.25457.griz,1.9638,-0.4525,0,4.09,16.69,0.02
SPLUS.STRIPE82-0003.25650.griz,1.3762,-0.4633,2,10.49,16.3,0.02
SPLUS.STRIPE82-0003.25849.griz,1.6698,-0.4726,0,7.33,16.46,0.02
SPLUS.STRIPE82-0003.25863.griz,1.6511,-0.4731,2,6.05,14.89,0.02
SPLUS.STRIPE82-0003.25991.griz,1.9744,-0.4793,0,7.0,16.34,0.02
SPLUS.STRIPE82-0003.26901.griz,1.655,-0.5224,0,12.51,16.81,0.02
SPLUS.STRIPE82-0003.27173.griz,0.9781,-0.5373,3,15.75,16.16,0.02
SPLUS.STRIPE82-0003.27515.griz,1.4409,-0.5427,0,5.14,16.21,0.02
SPLUS.STRIPE82-0003.27575.griz,1.9839,-0.5501,0,9.44,16.05,0.02
SPLUS.STRIPE82-0003.28122.griz,1.6489,-0.5711,0,7.58,15.52,0.02
SPLUS.STRIPE82-0003.28162.griz,1.3225,-0.6144,0,11.29,16.71,0.02
SPLUS.STRIPE82-0003.28286.griz,1.1646,-0.5821,3,35.76,16.77,0.02
SPLUS.STRIPE82-0003.28874.griz,1.6969999999999998,-0.6039,0,6.0,16.95,0.02
SPLUS.STRIPE82-0003.28931.griz,1.3219,-0.601,0,12.56,16.16,0.02
SPLUS.STRIPE82-0003.29199.griz,1.6713,-0.6167,2,4.94,15.95,0.02
SPLUS.STRIPE82-0003.29842.griz,1.1764,-0.6441,0,4.42,16.2,0.02
SPLUS.STRIPE82-0003.29891.griz,1.811,-0.6419,2,4.57,15.73,0.02
SPLUS.STRIPE82-0003.30103.griz,1.7309999999999999,-0.6552,2,6.4,16.42,0.02
SPLUS.STRIPE82-0003.30518.griz,0.7195,0.0083,0,4.93,16.35,0.02
SPLUS.STRIPE82-0003.30535.griz,0.8233,-0.1715,3,54.01,15.3,0.02
SPLUS.STRIPE82-0004.00508.griz,0.7523,0.0588,3,6.64,16.89,0.02
